"names","center_x","center_y","cluster_no","cell_type"
"2997859600419100118-mPFC_NF3_r1-mPFC","12006.9237872542","1066.66522757305","14","N_Sept4/Crym"
"2997859600419100121-mPFC_NF3_r1-mPFC","12092.5020463365","1064.47332051","8","N_Nptx1/Itm2a"
"2997859600419100163-mPFC_NF3_r1-mPFC","12001.4238285963","1002.89670369563","13","N_Sst"
"2997859600419100167-mPFC_NF3_r1-mPFC","12015.9422959262","1007.38214950181","4","N_Arhgap25"
"2997859600419100175-mPFC_NF3_r1-mPFC","12069.3901672042","1033.39423153473","4","N_Arhgap25"
"2997859600419100176-mPFC_NF3_r1-mPFC","12047.5122918224","1031.13254057904","14","N_Sept4/Crym"
"2997859600419100180-mPFC_NF3_r1-mPFC","12001.3109447038","1040.78467068745","4","N_Arhgap25"
"2997859600419100183-mPFC_NF3_r1-mPFC","12003.863598952","1064.67799126132","14","N_Sept4/Crym"
"2997859600419100184-mPFC_NF3_r1-mPFC","12057.0157527847","1063.94443213624","4","N_Arhgap25"
"2997859600419100192-mPFC_NF3_r1-mPFC","11997.4430317128","989.788652210168","1","N_Slc30a3"
"2997859600419100200-mPFC_NF3_r1-mPFC","12048.2433668183","1033.56822379023","14","N_Sept4/Crym"
"2997859600419100201-mPFC_NF3_r1-mPFC","12031.3506125707","1039.90667786942","14","N_Sept4/Crym"
"2997859600419100204-mPFC_NF3_r1-mPFC","12014.9327470693","1057.2448604612","14","N_Sept4/Crym"
"2997859600419100205-mPFC_NF3_r1-mPFC","11985.3676562023","1070.2746030883","4","N_Arhgap25"
"2997859600419200004-mPFC_NF3_r1-mPFC","11990.9389916652","981.897366158183","11","N_Lhx6"
